SubmitTime RunTime JobID UserID PeerID TraceID Cluster.IAT Cluster.JRT Cluster.TRT
697 7 1 U901 P46 gwa-t4 C3 C2 C5
697 1 1 U901 P46 gwa-t4 C3 C2 C5
697 334 1 U901 P46 gwa-t4 C3 C2 C5
7018 2 2 U901 P46 gwa-t4 C3 C2 C5
7018 13 2 U901 P46 gwa-t4 C3 C2 C5
7018 1 2 U901 P46 gwa-t4 C3 C2 C5
7018 2 2 U901 P46 gwa-t4 C3 C2 C5
7018 2 2 U901 P46 gwa-t4 C3 C2 C5
7018 76 2 U901 P46 gwa-t4 C3 C2 C5
7018 2 2 U901 P46 gwa-t4 C3 C2 C5
7018 230 2 U901 P46 gwa-t4 C3 C2 C5
8991 3 3 U901 P46 gwa-t4 C3 C2 C5
8991 19 3 U901 P46 gwa-t4 C3 C2 C5
16259 24 4 U901 P46 gwa-t4 C3 C2 C5
16259 28 4 U901 P46 gwa-t4 C3 C2 C5
16259 257 4 U901 P46 gwa-t4 C3 C2 C5
16259 9 4 U901 P46 gwa-t4 C3 C2 C5
16259 2 4 U901 P46 gwa-t4 C3 C2 C5
16259 66 4 U901 P46 gwa-t4 C3 C2 C5
16259 19 4 U901 P46 gwa-t4 C3 C2 C5
16259 2 4 U901 P46 gwa-t4 C3 C2 C5
16259 7 4 U901 P46 gwa-t4 C3 C2 C5
21680 1 5 U901 P46 gwa-t4 C3 C2 C5
21680 7 5 U901 P46 gwa-t4 C3 C2 C5
21680 2 5 U901 P46 gwa-t4 C3 C2 C5
21680 14 5 U901 P46 gwa-t4 C3 C2 C5
21680 5 5 U901 P46 gwa-t4 C3 C2 C5
21680 5 5 U901 P46 gwa-t4 C3 C2 C5
21680 2 5 U901 P46 gwa-t4 C3 C2 C5
28108 4 6 U901 P46 gwa-t4 C3 C2 C5
28108 15 6 U901 P46 gwa-t4 C3 C2 C5
28108 28 6 U901 P46 gwa-t4 C3 C2 C5
28108 2 6 U901 P46 gwa-t4 C3 C2 C5
28108 19 6 U901 P46 gwa-t4 C3 C2 C5
28108 10 6 U901 P46 gwa-t4 C3 C2 C5
28108 1 6 U901 P46 gwa-t4 C3 C2 C5
28108 58 6 U901 P46 gwa-t4 C3 C2 C5
28108 1 6 U901 P46 gwa-t4 C3 C2 C5
28108 17 6 U901 P46 gwa-t4 C3 C2 C5
29500 3 7 U901 P46 gwa-t4 C3 C2 C5
29500 15 7 U901 P46 gwa-t4 C3 C2 C5
31899 2 8 U901 P46 gwa-t4 C3 C2 C5
31899 7 8 U901 P46 gwa-t4 C3 C2 C5
31899 1 8 U901 P46 gwa-t4 C3 C2 C5
31899 10 8 U901 P46 gwa-t4 C3 C2 C5
31899 53 8 U901 P46 gwa-t4 C3 C2 C5
34062 27 9 U901 P46 gwa-t4 C3 C2 C5
36387 7 10 U901 P46 gwa-t4 C3 C2 C5
36387 2 10 U901 P46 gwa-t4 C3 C2 C5
36387 226 10 U901 P46 gwa-t4 C3 C2 C5
5906 1 1 U902 P46 gwa-t4 C4 C3 C5
5906 4 1 U902 P46 gwa-t4 C4 C3 C5
5906 5 1 U902 P46 gwa-t4 C4 C3 C5
