SubmitTime RunTime JobID UserID PeerID TraceID Cluster.IAT Cluster.JRT Cluster.TRT
469 108 1 U1 P1 gwa-t2 C1 C1 C4
469 87 1 U1 P1 gwa-t2 C1 C1 C4
469 5 1 U1 P1 gwa-t2 C1 C1 C4
469 18 1 U1 P1 gwa-t2 C1 C1 C4
469 410 1 U1 P1 gwa-t2 C1 C1 C4
1710 17 2 U1 P1 gwa-t2 C1 C1 C4
5017 159 3 U1 P1 gwa-t2 C1 C1 C4
5017 25 3 U1 P1 gwa-t2 C1 C1 C4
5017 111 3 U1 P1 gwa-t2 C1 C1 C4
5017 167 3 U1 P1 gwa-t2 C1 C1 C4
5017 133 3 U1 P1 gwa-t2 C1 C1 C4
5017 451 3 U1 P1 gwa-t2 C1 C1 C4
5121 2 4 U1 P1 gwa-t2 C1 C1 C4
5121 7 4 U1 P1 gwa-t2 C1 C1 C4
5121 3 4 U1 P1 gwa-t2 C1 C1 C4
5121 4 4 U1 P1 gwa-t2 C1 C1 C4
5121 40 4 U1 P1 gwa-t2 C1 C1 C4
5279 50 5 U1 P1 gwa-t2 C1 C1 C4
7390 6 6 U1 P1 gwa-t2 C1 C1 C4
7390 105 6 U1 P1 gwa-t2 C1 C1 C4
3112 5 1 U2 P1 gwa-t2 C1 C1 C2
3112 1159 1 U2 P1 gwa-t2 C1 C1 C2
3112 13 1 U2 P1 gwa-t2 C1 C1 C2
3112 1059 1 U2 P1 gwa-t2 C1 C1 C2
21853 38 2 U2 P1 gwa-t2 C1 C1 C2
21853 10 2 U2 P1 gwa-t2 C1 C1 C2
40624 8 3 U2 P1 gwa-t2 C1 C1 C2
40624 19 3 U2 P1 gwa-t2 C1 C1 C2
552 39 1 U3 P1 gwa-t2 C3 C4 C1
1848 42 2 U3 P1 gwa-t2 C3 C4 C1
2969 20 3 U3 P1 gwa-t2 C3 C4 C1
2969 45 3 U3 P1 gwa-t2 C3 C4 C1
3231 2438 4 U3 P1 gwa-t2 C3 C4 C1
3231 1186 4 U3 P1 gwa-t2 C3 C4 C1
3771 122 5 U3 P1 gwa-t2 C3 C4 C1
5133 1229 6 U3 P1 gwa-t2 C3 C4 C1
5726 541 7 U3 P1 gwa-t2 C3 C4 C1
6031 279 8 U3 P1 gwa-t2 C3 C4 C1
6169 2 9 U3 P1 gwa-t2 C3 C4 C1
9147 1548 10 U3 P1 gwa-t2 C3 C4 C1
11351 225 11 U3 P1 gwa-t2 C3 C4 C1
11351 12 11 U3 P1 gwa-t2 C3 C4 C1
11500 3 12 U3 P1 gwa-t2 C3 C4 C1
14908 148 13 U3 P1 gwa-t2 C3 C4 C1
18310 2 14 U3 P1 gwa-t2 C3 C4 C1
19381 19 15 U3 P1 gwa-t2 C3 C4 C1
20285 5 16 U3 P1 gwa-t2 C3 C4 C1
20756 129 17 U3 P1 gwa-t2 C3 C4 C1
20756 45 17 U3 P1 gwa-t2 C3 C4 C1
20756 700 17 U3 P1 gwa-t2 C3 C4 C1
21299 41 18 U3 P1 gwa-t2 C3 C4 C1
21780 284 19 U3 P1 gwa-t2 C3 C4 C1
22110 145 20 U3 P1 gwa-t2 C3 C4 C1
22110 312 20 U3 P1 gwa-t2 C3 C4 C1
22432 185 21 U3 P1 gwa-t2 C3 C4 C1
23001 56 22 U3 P1 gwa-t2 C3 C4 C1
23158 23 23 U3 P1 gwa-t2 C3 C4 C1
26861 7 24 U3 P1 gwa-t2 C3 C4 C1
27685 83 25 U3 P1 gwa-t2 C3 C4 C1
28719 2748 26 U3 P1 gwa-t2 C3 C4 C1
30049 43 27 U3 P1 gwa-t2 C3 C4 C1
30101 2 28 U3 P1 gwa-t2 C3 C4 C1
30491 718 29 U3 P1 gwa-t2 C3 C4 C1
34470 89 30 U3 P1 gwa-t2 C3 C4 C1
35026 32 31 U3 P1 gwa-t2 C3 C4 C1
35599 252 32 U3 P1 gwa-t2 C3 C4 C1
35951 5 33 U3 P1 gwa-t2 C3 C4 C1
36497 283 34 U3 P1 gwa-t2 C3 C4 C1
36814 43 35 U3 P1 gwa-t2 C3 C4 C1
36814 112 35 U3 P1 gwa-t2 C3 C4 C1
37358 342 36 U3 P1 gwa-t2 C3 C4 C1
41213 651 37 U3 P1 gwa-t2 C3 C4 C1
41778 113 38 U3 P1 gwa-t2 C3 C4 C1
43064 90 39 U3 P1 gwa-t2 C3 C4 C1
908 979 1 U4 P1 gwa-t2 C1 C1 C2
187 751 1 U306 P1 gwa-t2 C3 C4 C2
729 105 2 U306 P1 gwa-t2 C3 C4 C2
1149 119 3 U306 P1 gwa-t2 C3 C4 C2
1149 973 3 U306 P1 gwa-t2 C3 C4 C2
1183 1 4 U306 P1 gwa-t2 C3 C4 C2
1784 3 5 U306 P1 gwa-t2 C3 C4 C2
3148 964 6 U306 P1 gwa-t2 C3 C4 C2
3148 859 6 U306 P1 gwa-t2 C3 C4 C2
3418 41 7 U306 P1 gwa-t2 C3 C4 C2
3418 80 7 U306 P1 gwa-t2 C3 C4 C2
3673 653 8 U306 P1 gwa-t2 C3 C4 C2
4420 33 9 U306 P1 gwa-t2 C3 C4 C2
4664 7 10 U306 P1 gwa-t2 C3 C4 C2
5232 594 11 U306 P1 gwa-t2 C3 C4 C2
5475 60 12 U306 P1 gwa-t2 C3 C4 C2
5692 127 13 U306 P1 gwa-t2 C3 C4 C2
