SubmitTime RunTime JobID UserID PeerID TraceID Cluster.IAT Cluster.JRT Cluster.TRT
574 16 1 U1201 P61 gwa-t10 C1 C2 C2
574 91 1 U1201 P61 gwa-t10 C1 C2 C2
574 25 1 U1201 P61 gwa-t10 C1 C2 C2
1330 9 2 U1201 P61 gwa-t10 C1 C2 C2
1330 11 2 U1201 P61 gwa-t10 C1 C2 C2
1330 24 2 U1201 P61 gwa-t10 C1 C2 C2
1330 327 2 U1201 P61 gwa-t10 C1 C2 C2
1330 58 2 U1201 P61 gwa-t10 C1 C2 C2
1330 424 2 U1201 P61 gwa-t10 C1 C2 C2
14273 20 3 U1201 P61 gwa-t10 C1 C2 C2
16599 374 4 U1201 P61 gwa-t10 C1 C2 C2
16599 311 4 U1201 P61 gwa-t10 C1 C2 C2
16599 31 4 U1201 P61 gwa-t10 C1 C2 C2
16599 22 4 U1201 P61 gwa-t10 C1 C2 C2
16599 41 4 U1201 P61 gwa-t10 C1 C2 C2
16599 98 4 U1201 P61 gwa-t10 C1 C2 C2
16599 22 4 U1201 P61 gwa-t10 C1 C2 C2
16599 43 4 U1201 P61 gwa-t10 C1 C2 C2
16599 84 4 U1201 P61 gwa-t10 C1 C2 C2
16986 13 5 U1201 P61 gwa-t10 C1 C2 C2
18753 11 6 U1201 P61 gwa-t10 C1 C2 C2
27930 34 7 U1201 P61 gwa-t10 C1 C2 C2
27930 13 7 U1201 P61 gwa-t10 C1 C2 C2
27930 3 7 U1201 P61 gwa-t10 C1 C2 C2
27930 42 7 U1201 P61 gwa-t10 C1 C2 C2
27930 20 7 U1201 P61 gwa-t10 C1 C2 C2
27930 1 7 U1201 P61 gwa-t10 C1 C2 C2
30235 112 8 U1201 P61 gwa-t10 C1 C2 C2
30235 113 8 U1201 P61 gwa-t10 C1 C2 C2
30235 20 8 U1201 P61 gwa-t10 C1 C2 C2
32992 53 9 U1201 P61 gwa-t10 C1 C2 C2
34053 8 10 U1201 P61 gwa-t10 C1 C2 C2
426 52 1 U1204 P61 gwa-t10 C2 C3 C1
426 2752 1 U1204 P61 gwa-t10 C2 C3 C1
1061 61 2 U1204 P61 gwa-t10 C2 C3 C1
1061 239 2 U1204 P61 gwa-t10 C2 C3 C1
1061 28 2 U1204 P61 gwa-t10 C2 C3 C1
1883 240 3 U1204 P61 gwa-t10 C2 C3 C1
1883 169 3 U1204 P61 gwa-t10 C2 C3 C1
2382 124 4 U1204 P61 gwa-t10 C2 C3 C1
2382 373 4 U1204 P61 gwa-t10 C2 C3 C1
2382 35 4 U1204 P61 gwa-t10 C2 C3 C1
2382 464 4 U1204 P61 gwa-t10 C2 C3 C1
2717 105 5 U1204 P61 gwa-t10 C2 C3 C1
2717 1482 5 U1204 P61 gwa-t10 C2 C3 C1
2717 121 5 U1204 P61 gwa-t10 C2 C3 C1
2717 236 5 U1204 P61 gwa-t10 C2 C3 C1
2717 1977 5 U1204 P61 gwa-t10 C2 C3 C1
12501 13 6 U1204 P61 gwa-t10 C2 C3 C1
12501 15 6 U1204 P61 gwa-t10 C2 C3 C1
14062 57 7 U1204 P61 gwa-t10 C2 C3 C1
14062 36 7 U1204 P61 gwa-t10 C2 C3 C1
14062 28 7 U1204 P61 gwa-t10 C2 C3 C1
14062 89 7 U1204 P61 gwa-t10 C2 C3 C1
14062 564 7 U1204 P61 gwa-t10 C2 C3 C1
16074 17 8 U1204 P61 gwa-t10 C2 C3 C1
16074 14 8 U1204 P61 gwa-t10 C2 C3 C1
17083 1717 9 U1204 P61 gwa-t10 C2 C3 C1
17546 2698 10 U1204 P61 gwa-t10 C2 C3 C1
21713 104 11 U1204 P61 gwa-t10 C2 C3 C1
21905 53 12 U1204 P61 gwa-t10 C2 C3 C1
21905 9 12 U1204 P61 gwa-t10 C2 C3 C1
31146 44 13 U1204 P61 gwa-t10 C2 C3 C1
31146 1708 13 U1204 P61 gwa-t10 C2 C3 C1
32515 23 14 U1204 P61 gwa-t10 C2 C3 C1
32739 53 15 U1204 P61 gwa-t10 C2 C3 C1
35082 84 16 U1204 P61 gwa-t10 C2 C3 C1
36231 61 17 U1204 P61 gwa-t10 C2 C3 C1
36231 6 17 U1204 P61 gwa-t10 C2 C3 C1
37274 36 18 U1204 P61 gwa-t10 C2 C3 C1
37274 137 18 U1204 P61 gwa-t10 C2 C3 C1
37274 94 18 U1204 P61 gwa-t10 C2 C3 C1
37274 678 18 U1204 P61 gwa-t10 C2 C3 C1
37462 31 19 U1204 P61 gwa-t10 C2 C3 C1
37462 212 19 U1204 P61 gwa-t10 C2 C3 C1
37462 379 19 U1204 P61 gwa-t10 C2 C3 C1
37462 1508 19 U1204 P61 gwa-t10 C2 C3 C1
37940 613 20 U1204 P61 gwa-t10 C2 C3 C1
39214 55 21 U1204 P61 gwa-t10 C2 C3 C1
41952 189 22 U1204 P61 gwa-t10 C2 C3 C1
41952 461 22 U1204 P61 gwa-t10 C2 C3 C1
43103 25 23 U1204 P61 gwa-t10 C2 C3 C1
43103 588 23 U1204 P61 gwa-t10 C2 C3 C1
43103 255 23 U1204 P61 gwa-t10 C2 C3 C1
3158 30 1 U1205 P61 gwa-t10 C2 C1 C3
11265 52 2 U1205 P61 gwa-t10 C2 C1 C3
11327 496 3 U1205 P61 gwa-t10 C2 C1 C3
11365 21 4 U1205 P61 gwa-t10 C2 C1 C3
12957 15 5 U1205 P61 gwa-t10 C2 C1 C3
16029 61 6 U1205 P61 gwa-t10 C2 C1 C3
16029 23 6 U1205 P61 gwa-t10 C2 C1 C3
16029 1412 6 U1205 P61 gwa-t10 C2 C1 C3
17739 414 7 U1205 P61 gwa-t10 C2 C1 C3
21658 667 8 U1205 P61 gwa-t10 C2 C1 C3
23960 3753 9 U1205 P61 gwa-t10 C2 C1 C3
28074 26 10 U1205 P61 gwa-t10 C2 C1 C3
387 1835 1 U1206 P61 gwa-t10 C1 C1 C5
1397 2531 2 U1206 P61 gwa-t10 C1 C1 C5
7956 14 3 U1206 P61 gwa-t10 C1 C1 C5
7956 17 3 U1206 P61 gwa-t10 C1 C1 C5
1172 27 1 U1207 P61 gwa-t10 C1 C4 C3
4535 122 2 U1207 P61 gwa-t10 C1 C4 C3
4535 308 2 U1207 P61 gwa-t10 C1 C4 C3
6425 1077 3 U1207 P61 gwa-t10 C1 C4 C3
6425 207 3 U1207 P61 gwa-t10 C1 C4 C3
6425 267 3 U1207 P61 gwa-t10 C1 C4 C3
6425 441 3 U1207 P61 gwa-t10 C1 C4 C3
6425 1003 3 U1207 P61 gwa-t10 C1 C4 C3
6616 583 4 U1207 P61 gwa-t10 C1 C4 C3
6616 1355 4 U1207 P61 gwa-t10 C1 C4 C3
3328 46 1 U1208 P61 gwa-t10 C1 C2 C2
3328 35 1 U1208 P61 gwa-t10 C1 C2 C2
3328 475 1 U1208 P61 gwa-t10 C1 C2 C2
24799 13 2 U1208 P61 gwa-t10 C1 C2 C2
24799 260 2 U1208 P61 gwa-t10 C1 C2 C2
25155 88 3 U1208 P61 gwa-t10 C1 C2 C2
25231 20 4 U1208 P61 gwa-t10 C1 C2 C2
179 4 1 U1209 P61 gwa-t10 C1 C1 C2
179 120 1 U1209 P61 gwa-t10 C1 C1 C2
5410 11 2 U1209 P61 gwa-t10 C1 C1 C2
5410 189 2 U1209 P61 gwa-t10 C1 C1 C2
5410 388 2 U1209 P61 gwa-t10 C1 C1 C2
5521 10 3 U1209 P61 gwa-t10 C1 C1 C2
5521 189 3 U1209 P61 gwa-t10 C1 C1 C2
5521 34 3 U1209 P61 gwa-t10 C1 C1 C2
5521 77 3 U1209 P61 gwa-t10 C1 C1 C2
